slot_index,slot_label,price_cny_per_kwh,load_kw,pv_kw,purchase_kwh,charge_kwh,discharge_kwh,soc_end_kwh,marginal_mu_cny_per_kwh,curtail_kwh
102,17:00,0.926400,5466.712400,1501.728300,660.830683,0.000000,-0.000000,10800.000000,0.926400,0.000000
103,17:10,0.946200,5467.393900,1255.172300,702.036933,0.000000,-0.000000,10800.000000,0.946200,0.000000
104,17:20,0.974200,5464.727000,1036.332300,738.065783,0.000000,-0.000000,10800.000000,0.974200,0.000000
105,17:30,0.986200,5492.445800,836.777500,775.944717,0.000000,-0.000000,10800.000000,0.986200,0.000000
106,17:40,0.976000,5621.730800,665.231300,826.083250,0.000000,0.000000,10800.000000,0.976000,0.000000
107,17:50,1.074200,5091.212600,516.675800,762.422800,0.000000,-0.000000,10800.000000,1.074200,0.000000
108,18:00,1.231300,4208.568800,386.673100,636.982617,0.000000,-0.000000,10800.000000,1.231300,0.000000
109,18:10,1.256100,4122.761100,275.793300,531.894050,0.000000,109.267250,10678.591944,1.256100,0.000000
110,18:20,1.244700,4255.935800,182.952600,678.830533,0.000000,0.000000,10678.591944,1.244700,0.000000
111,18:30,1.254500,4225.952400,108.341400,686.268500,0.000000,0.000000,10678.591944,1.254500,0.000000
112,18:40,1.252200,4233.338400,54.312100,696.504383,0.000000,0.000000,10678.591944,1.252200,0.000000
113,18:50,1.288100,4246.462500,18.656900,0.000000,0.000000,704.634267,9895.664981,1.256100,0.000000
114,19:00,1.346600,4239.179500,0.275300,0.000000,0.000000,706.484033,9110.682722,1.256100,0.000000
115,19:10,1.352300,4244.668400,0.229600,0.000000,0.000000,707.406467,8324.675537,1.256100,0.000000
116,19:20,1.344500,4251.918700,0.600700,0.000000,0.000000,708.553000,7537.394426,1.256100,0.000000
117,19:30,1.348300,4256.681300,0.000000,0.000000,0.000000,709.446883,6749.120111,1.256100,0.000000
118,19:40,1.349000,4267.394700,0.000000,0.000000,0.000000,711.232450,5958.861833,1.256100,0.000000
119,19:50,1.347300,4269.975000,0.000000,0.000000,0.000000,711.662500,5168.125722,1.256100,0.000000
120,20:00,1.348200,4268.670200,0.000000,0.000000,0.000000,711.445033,4377.631241,1.256100,0.000000
121,20:10,1.351300,4282.224500,0.000000,0.000000,0.000000,713.704083,3584.626704,1.256100,0.000000
122,20:20,1.340000,4291.704900,0.000000,0.000000,0.000000,715.284150,2789.866537,1.256100,0.000000
123,20:30,1.348900,4291.361100,0.000000,0.000000,0.000000,715.226850,1995.170037,1.256100,0.000000
124,20:40,1.395200,4293.918200,0.000000,0.000000,0.000000,715.653033,1200.000000,1.256100,0.000000
125,20:50,1.222600,4295.213500,0.000000,715.868917,0.000000,-0.000000,1200.000000,1.222600,0.000000
126,21:00,0.933200,4302.030700,0.000000,717.005117,0.000000,0.000000,1200.000000,0.933200,0.000000
127,21:10,0.906800,4320.961800,0.000000,720.160300,0.000000,0.000000,1200.000000,0.906800,0.000000
128,21:20,0.937100,4302.329200,0.000000,717.054867,0.000000,0.000000,1200.000000,0.937100,0.000000
129,21:30,0.937100,4322.675800,0.000000,720.445967,0.000000,0.000000,1200.000000,0.937100,0.000000
130,21:40,0.987100,4428.808300,0.000000,738.134717,0.000000,-0.000000,1200.000000,0.987100,0.000000
131,21:50,0.776400,4030.161400,0.000000,671.693567,0.000000,-0.000000,1200.000000,0.776400,0.000000
132,22:00,0.420900,3362.741900,0.000000,1393.790317,833.333333,0.000000,1950.000000,0.420900,0.000000
133,22:10,0.385900,3309.393400,0.000000,1384.898900,833.333333,0.000000,2700.000000,0.385900,0.000000
134,22:20,0.436800,3412.956300,0.000000,568.826050,0.000000,0.000000,2700.000000,0.436800,0.000000
135,22:30,0.419800,3381.931300,0.000000,1396.988550,833.333333,0.000000,3450.000000,0.419800,0.000000
136,22:40,0.418600,3386.559200,0.000000,1397.759867,833.333333,0.000000,4200.000000,0.418600,0.000000
137,22:50,0.424100,3400.484600,0.000000,566.747433,0.000000,0.000000,4200.000000,0.424100,0.000000
138,23:00,0.423700,3399.242600,0.000000,1399.873767,833.333333,0.000000,4950.000000,0.423700,0.000000
139,23:10,0.424800,3406.980900,0.000000,567.830150,0.000000,0.000000,4950.000000,0.424800,0.000000
140,23:20,0.424000,3416.151800,0.000000,569.358633,0.000000,0.000000,4950.000000,0.424000,0.000000
141,23:30,0.422000,3421.981100,0.000000,1403.663517,833.333333,0.000000,5700.000000,0.422000,0.000000
142,23:40,0.424000,3429.692300,0.000000,904.948717,333.333333,0.000000,6000.000000,0.424000,0.000000
143,23:50,0.427100,3439.061000,0.000000,573.176833,0.000000,0.000000,6000.000000,0.427100,0.000000
144,0:00+1,0.427600,3444.725900,0.000000,574.120983,0.000000,0.000000,6000.000000,0.427600,0.000000
