date,cost_cny,plan_cost_cny,emergency_energy_kwh,emergency_cost_cny,over_plan_energy_kwh,under_plan_energy_kwh,over_plan_penalty_cny,under_plan_penalty_cny,q_plan_kwh,q_adjust_kwh,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,emergency_slots,emergency_blocks,S0,S1,S2,S3,S4
2025-02-15,17346.272021,14510.160996,554.874150,1439.328195,0.000000,1640.804083,0.000000,1396.782830,34816.298840,36457.102923,20009.434156,16207.641667,6000.000000,6000.000000,22,6,19752.835683,18092.412735,17346.272021,17346.272021,19498.024633
2025-02-16,61310.611135,52871.877619,1418.797600,6233.022303,1322.238822,1230.493000,534.582126,1671.129086,79065.382836,78973.637014,22981.809897,18615.266017,6000.000000,6000.000000,48,7,61789.756860,59694.438485,61310.611135,61310.611135,63626.275638
2025-02-17,56346.170256,51013.634420,574.576817,2483.598583,2571.009476,1538.535408,870.674068,1978.263185,77787.541546,76755.067479,23093.317346,18705.587050,6000.000000,6000.000000,25,8,59355.461560,56813.738918,56346.170256,56346.170256,56923.297905
2025-02-18,57243.130630,44160.699686,334.277467,1462.308962,48.927083,10042.536163,24.499530,11595.622452,68921.582165,78915.191244,23736.823479,19226.827018,6000.000000,6000.000000,19,6,76614.941376,59243.675551,57243.130630,57243.130630,63367.434945
2025-02-19,58119.954750,44964.298110,830.177617,3467.919677,0.000000,8793.111386,0.000000,9687.736964,69823.349049,78616.460435,25720.171235,20833.338700,6000.000000,6000.000000,32,6,77758.949726,57681.550400,58119.954750,58119.954750,68567.157597
2025-02-20,54494.905081,46823.840854,340.770000,1859.702758,0.000000,4959.083404,0.000000,5811.361469,71984.131407,76943.214811,23664.861811,19168.538067,6000.000000,6000.000000,15,6,63799.918991,56524.300134,54494.905081,54494.905081,57453.382187
2025-02-21,15568.714355,13648.513546,118.205350,451.466832,0.000000,1395.610180,0.000000,1468.733978,33738.698156,35134.308336,19752.767556,15999.741720,6000.000000,6000.000000,8,5,29087.377433,15609.542303,15568.714355,15568.714355,18129.706999
2025-02-22,16458.179996,13832.487428,308.403483,1200.571420,0.000000,1365.576717,0.000000,1425.121147,33525.959467,34891.536183,19333.333333,15660.000000,6000.000000,6000.000000,18,6,25862.105183,16232.022751,16458.179996,16458.179996,20570.031606
2025-02-23,57174.490122,45005.655321,993.175383,4124.601113,0.000000,6840.531611,0.000000,8044.233687,70286.373916,77126.905527,23731.811193,19222.767067,6000.000000,6000.000000,25,8,71501.746744,59170.777800,57174.490122,57174.490122,69360.144803
2025-02-24,54464.711557,43482.322768,173.024433,961.003987,180.227350,10103.885830,78.023906,9943.360896,66606.656333,76530.314813,23317.023313,18886.788883,6000.000000,6000.000000,11,4,67912.917877,55085.391973,54464.711557,54464.711557,61801.270551
2025-02-25,50063.715474,43522.838581,348.952017,1818.579526,305.028583,4588.426770,138.285136,4584.012231,68589.826965,72873.225153,22741.157206,18420.337337,6000.000000,6000.000000,21,6,53701.272534,53544.197672,50063.715474,50063.715474,49131.186737
2025-02-26,54709.271630,39238.451616,412.942533,1891.794728,0.000000,13221.647780,0.000000,13579.025286,61552.410199,74774.057980,23336.734017,18902.754554,6000.000000,6000.000000,24,9,87571.932964,55242.778961,54709.271630,54709.271630,70431.295115
2025-02-27,52639.047563,39457.135037,469.829933,2481.812790,6.155667,10587.751479,2.714341,10697.385395,62522.320638,73103.916451,23195.876934,18788.660317,6000.000000,6000.000000,15,2,77554.177307,52869.933467,52639.047563,52639.047563,65345.200172
2025-02-28,15605.684789,12840.521882,348.072533,1264.733984,22.114150,1394.253333,7.919180,1492.509742,32364.043600,33736.182783,18500.000000,14985.000000,6000.000000,6000.000000,17,6,29192.814601,16116.235976,15605.684789,15605.684789,19350.606909
2025-03-01,14958.111797,12551.525521,113.313783,291.926875,0.000000,2675.743917,0.000000,2114.659400,31465.343243,34141.087160,20007.795556,16206.314400,6000.000000,6000.000000,11,7,19524.955815,15780.526512,14958.111797,14958.111797,16552.036349
2025-03-02,59469.450384,42287.610488,329.836233,1745.963956,0.000000,13140.952974,0.000000,15435.875940,67201.323685,80342.276658,26207.753992,21228.280733,6000.000000,6000.000000,11,3,86290.751302,60708.208706,59469.450384,59469.450384,76071.455130
2025-03-03,55824.093223,43987.158096,463.854367,1834.337426,6.533300,7883.331171,2.091309,10000.506392,69603.244399,77480.042270,24145.546949,19557.893028,6000.000000,6000.000000,20,8,75239.526063,57408.430533,55824.093223,55824.093223,63331.330011
2025-03-04,57022.025742,38212.219748,840.432183,3605.768954,0.000000,14349.324534,0.000000,15204.037039,60699.019794,75048.344328,23439.666461,18986.129833,6000.000000,6000.000000,26,7,92581.142775,57678.992839,57022.025742,57022.025742,75014.207944
2025-03-05,50954.014563,39426.028130,620.228367,3047.400188,0.000000,7824.970874,0.000000,8480.586246,64002.991825,71827.962699,22272.255082,18040.526617,6000.000000,6000.000000,20,6,67666.694277,51573.682598,50954.014563,50954.014563,59778.216644
2025-03-06,51032.090030,36723.153125,223.519517,1018.332961,0.000000,13180.984612,0.000000,13290.603944,59028.948355,72209.932967,23330.044912,18897.336378,6000.000000,6000.000000,14,8,83050.939318,50551.141181,51032.090030,51032.090030,70565.814218
2025-03-07,14383.118793,11825.182053,355.161483,1209.844901,1.015183,1509.645982,0.342320,1347.749519,30050.758983,31559.389782,17798.699115,14416.946283,6000.000000,6000.000000,21,5,20114.463945,14757.691208,14383.118793,14383.118793,16901.614622
2025-03-08,13796.335217,11806.584060,50.905767,188.088152,0.000000,2313.800128,0.000000,1801.663004,30573.132231,32886.932359,20091.447243,16274.072267,6000.000000,6000.000000,7,4,24409.423787,14180.857230,13796.335217,13796.335217,16712.413389
2025-03-09,48242.322584,38186.572481,668.322667,1819.702076,122.343617,6981.302974,28.905962,8207.142066,63150.621907,70009.581264,24074.330514,19500.207717,6000.000000,6000.000000,13,5,61330.011649,48519.944934,48242.322584,48242.322584,57469.441863
2025-03-10,55535.579582,37610.834811,530.753817,2115.980619,0.000000,14485.045675,0.000000,15808.764153,60240.664646,74725.710321,22826.368005,18489.358084,6000.000000,6000.000000,19,5,89416.698670,55490.155884,55535.579582,55535.579582,74668.399831
2025-03-11,50455.167536,34708.390112,237.288333,1120.505383,0.000000,14525.727362,0.000000,14626.272041,55844.253631,70369.980993,21839.163999,17689.722839,6000.000000,6000.000000,21,5,86239.694420,52907.801745,50455.167536,50455.167536,67361.755822
2025-03-12,46065.415693,37596.793824,151.567633,735.050205,0.000000,7723.596668,0.000000,7733.571665,61373.269614,69096.866281,22830.944463,18493.065015,6000.000000,6000.000000,13,5,58805.888603,47788.540393,46065.415693,46065.415693,54605.891134
2025-03-13,54542.204294,38444.212176,307.847033,1478.768348,0.000000,13693.705705,0.000000,14619.223770,61736.786015,75430.491719,23032.523786,18656.344267,6000.000000,6000.000000,9,2,81389.931483,55134.671898,54542.204294,54542.204294,61254.758552
2025-03-14,12711.896429,10984.802903,94.555900,215.346241,0.000000,1518.085750,0.000000,1511.747285,29632.342667,31150.428417,20166.666667,16335.000000,6000.000000,6000.000000,9,5,25404.252541,12833.549685,12711.896429,12711.896429,15261.855571
2025-03-15,13630.498709,11902.669252,1.203017,4.511914,0.000000,1934.267911,0.000000,1723.317543,30187.651301,32121.919212,18385.471817,14892.232172,6000.000000,6000.000000,1,1,26428.678253,13925.440978,13630.498709,13630.498709,16135.775913
2025-03-16,49407.180891,35981.627548,118.364183,687.520331,0.000000,13628.900549,0.000000,12738.033012,58233.553117,71862.453666,22799.088416,18467.261617,6000.000000,6000.000000,5,2,73787.154522,52171.989010,49407.180891,49407.180891,66683.401844
2025-03-17,45338.016858,33164.048569,697.305150,3250.568898,0.000000,9520.633244,0.000000,8923.399391,53959.657780,63480.291024,21003.862058,17013.128267,6000.000000,6000.000000,19,6,66553.637454,47671.578394,45338.016858,45338.016858,55528.232925
2025-03-18,44525.011762,37761.769737,81.036600,338.274972,0.000000,6591.112549,0.000000,6424.967052,62095.184167,68686.296716,22651.356399,18347.598683,6000.000000,6000.000000,9,4,53354.963285,47458.691337,44525.011762,44525.011762,47379.958878
2025-03-19,47869.971736,33463.737668,907.733433,4201.564788,0.000000,10980.530100,0.000000,10204.669280,55332.041250,66312.571350,23819.452366,19293.756417,6000.000000,6000.000000,18,5,74050.860221,49997.384746,47869.971736,47869.971736,58701.712163
2025-03-20,48449.285444,35892.432368,1194.875167,4539.921669,148.311533,8593.917106,61.037352,7955.894055,57897.372546,66342.978119,21653.386852,17539.243350,6000.000000,6000.000000,33,9,74772.328026,52334.903442,48449.285444,48449.285444,72420.651145
2025-03-21,13110.758089,10849.453126,262.419567,849.842439,0.000000,1429.420733,0.000000,1411.462524,28806.837248,30236.257981,17876.840165,14480.240533,6000.000000,6000.000000,7,2,15139.154091,12962.672449,13110.758089,13110.758089,14591.118293
2025-03-22,13204.858558,11067.255499,238.483067,409.067213,0.000000,2334.088597,0.000000,1728.535846,29412.277793,31746.366389,19477.384243,15776.681237,6000.000000,6000.000000,8,4,18746.888633,13950.570225,13204.858558,13204.858558,13573.216219
2025-03-23,45084.018071,35703.357377,177.784317,788.288212,253.774670,9249.976417,83.236452,8509.136030,59006.108541,68002.310287,22300.525370,18063.425550,6000.000000,6000.000000,15,2,57121.148857,46015.551193,45084.018071,45084.018071,51539.922624
2025-03-24,44043.888344,33016.140275,292.434817,838.160684,0.000000,10822.276745,0.000000,10189.587385,54780.477500,65602.754245,22200.423745,17982.343233,6000.000000,6000.000000,14,5,61654.040383,44944.623175,44043.888344,44043.888344,50627.651277
2025-03-25,44612.651388,37223.376059,386.689017,1353.152104,155.687633,5284.386166,34.889547,6001.233677,62226.848526,67355.547059,23061.463642,18679.785550,6000.000000,6000.000000,24,9,50618.998425,45933.996317,44612.651388,44612.651388,48400.949415
2025-03-26,41721.732109,33517.814750,147.518900,539.398595,0.044450,8559.889677,0.028306,7664.490457,54479.908574,63039.753800,19953.299300,16162.172433,6000.000000,6000.000000,11,3,58305.168213,43441.922369,41721.732109,41721.732109,53344.449670
2025-03-27,43749.366845,33483.920555,586.353333,2584.597214,0.360400,9011.341476,0.226277,7680.622799,55501.604217,64512.585292,21488.138292,17405.392017,6000.000000,6000.000000,36,8,62564.771405,46772.908332,43749.366845,43749.366845,50561.230188
2025-03-28,11874.643912,10923.822024,80.527750,145.076803,1.241117,832.992083,0.515063,805.230022,29105.875235,29937.626202,18322.433868,14841.171433,6000.000000,6000.000000,5,1,22624.401559,11970.037755,11874.643912,11874.643912,12032.783466
2025-03-29,12358.019228,10473.573260,181.109567,428.515890,0.000000,1480.594900,0.000000,1455.930078,27960.831570,29441.426470,17829.285720,14441.721433,6000.000000,6000.000000,12,3,21571.381918,12360.773580,12358.019228,12358.019228,13154.556037
2025-03-30,41406.732193,32108.291968,703.174700,2921.691068,8.924533,7188.743148,4.360386,6372.388771,54008.154567,61187.973181,21067.899815,17064.998850,6000.000000,6000.000000,29,7,57508.278147,41417.572482,41406.732193,41406.732193,46343.721375
2025-03-31,44119.797533,31207.690699,461.455050,1787.073658,0.000000,12433.043094,0.000000,11125.033176,50865.016148,63298.059242,19079.531975,15454.420900,6000.000000,6000.000000,27,8,80115.524031,48500.913611,44119.797533,44119.797533,55584.735577
2025-04-01,46760.955984,34605.343240,243.377800,723.549008,0.879400,11503.902304,0.551120,11431.512616,57363.514325,68866.537229,21085.616381,17079.349269,6000.000000,6000.000000,18,4,65770.924081,49528.131265,46760.955984,46760.955984,48631.104840
2025-04-02,46813.049885,32900.762723,184.374400,512.741334,0.000000,14106.210888,0.000000,13399.545827,55075.203967,69181.414855,21969.022922,17794.908567,6000.000000,6000.000000,10,6,71567.991930,49202.602861,46813.049885,46813.049885,51385.906043
2025-04-03,41962.305673,34601.892136,175.944700,464.419532,11.916150,8399.840708,6.059617,6889.934389,56629.284820,65017.209378,23238.459794,18823.152433,6000.000000,6000.000000,7,3,52165.165488,42399.372197,41962.305673,41962.305673,46265.525205
2025-04-04,11624.176964,10024.001994,220.607350,425.289126,0.000000,1181.715433,0.000000,1174.885845,26799.874383,27981.589817,16000.000000,12960.000000,6000.000000,6000.000000,9,4,18132.359005,11558.626718,11624.176964,11624.176964,12553.026096
2025-04-05,13720.000838,10375.588415,794.786467,2125.144680,0.000000,1301.126917,0.000000,1219.267743,27010.769551,28311.896468,16680.067901,13510.855000,6000.000000,6000.000000,26,6,29869.803281,12698.726839,13720.000838,13720.000838,14719.416943
2025-04-06,42298.886628,31136.091407,410.102367,943.081441,0.000000,10569.520494,0.000000,10219.713779,51728.311000,62297.831494,20469.706461,16580.462233,6000.000000,6000.000000,10,3,59530.167907,41891.249618,42298.886628,42298.886628,47970.810812
2025-04-07,40582.120968,30177.562370,598.574950,2191.062349,0.000000,9302.271990,0.000000,8213.496249,50587.738801,59890.010791,20095.698025,16277.515400,6000.000000,6000.000000,27,10,76687.560391,42570.039715,40582.120968,40582.120968,48121.577075
2025-04-08,40970.640708,32768.375029,389.967300,1264.675035,0.000000,7892.801383,0.000000,6937.590644,54552.808613,62445.609997,21152.629280,17133.629717,6000.000000,6000.000000,11,3,50342.264828,41695.311824,40970.640708,40970.640708,44703.522706
2025-04-09,45518.475022,31703.155092,347.093317,858.970864,0.000000,14034.486666,0.000000,12956.349066,52980.448022,67014.934688,21882.450637,17724.785016,6000.000000,6000.000000,12,4,71736.719156,47067.300010,45518.475022,45518.475022,57960.529896
2025-04-10,42344.889665,32854.386009,491.053817,1586.238233,203.677567,9434.877167,91.979276,7812.286147,53808.212968,63039.412569,21925.860802,17759.947250,6000.000000,6000.000000,21,6,62288.011566,44264.928228,42344.889665,42344.889665,49127.648030
2025-04-11,11950.399892,9585.743025,413.323467,927.892194,0.000000,1521.086106,0.000000,1436.764674,26482.001944,28003.088050,20927.248750,16951.071488,6000.000000,6000.000000,16,5,21522.060397,12187.018622,11950.399892,11950.399892,13261.996013
2025-04-12,11336.888472,9594.388341,522.422367,936.946811,0.000000,864.182033,0.000000,805.553320,26470.734927,27334.916960,19205.827160,15556.720000,6000.000000,6000.000000,12,3,16015.446750,11179.167281,11336.888472,11336.888472,12042.898364
2025-04-13,40903.866734,30825.995875,366.039917,1014.320369,4.429967,9998.979967,2.690540,9060.859950,51020.701568,61015.251568,21258.925535,17219.729683,6000.000000,6000.000000,11,3,71094.413723,42676.598040,40903.866734,40903.866734,49024.684378
2025-04-14,38394.541756,32091.113555,918.745417,2612.192692,589.614433,4520.553429,223.860652,3467.374856,54044.741962,57975.680958,21477.848374,17397.057183,6000.000000,6000.000000,26,9,49906.003970,39896.266288,38394.541756,38394.541756,41779.116132
2025-04-15,38248.949473,28862.095039,592.417100,1833.666745,0.000000,8828.202053,0.000000,7553.187689,48885.929009,57714.131062,20611.261029,16695.121433,6000.000000,6000.000000,19,7,71365.551939,39942.109557,38248.949473,38248.949473,46142.142257
2025-04-16,43907.472788,29836.941562,732.627450,2151.872424,0.000000,12560.257299,0.000000,11918.658802,50188.990300,62749.247599,20319.433417,16458.741068,6000.000000,6000.000000,19,5,71041.410035,46428.774866,43907.472788,43907.472788,49383.951702
2025-04-17,40158.578193,29610.272314,478.015783,1226.108079,0.000000,10607.956048,0.000000,9322.197800,49157.044250,59765.000298,19584.387531,15863.353900,6000.000000,6000.000000,11,4,69764.359917,41592.712075,40158.578193,40158.578193,50333.834953
2025-04-18,12495.358612,9246.950055,950.511467,2189.090111,0.000000,1121.322900,0.000000,1059.318445,25356.818220,26478.141120,17246.129403,13969.364817,6000.000000,6000.000000,22,3,22667.288599,11933.448901,12495.358612,12495.358612,13523.861412
2025-04-19,11321.922028,9260.655690,406.820467,740.654632,0.000000,1377.724733,0.000000,1320.611706,25455.757585,26833.482319,16726.799835,13548.707867,6000.000000,6000.000000,5,1,23652.661274,13438.152726,11321.922028,11321.922028,11185.577711
2025-04-20,40985.105095,29378.365815,775.255200,2560.370039,0.000000,9900.063285,0.000000,9046.369240,49246.139129,59146.202414,19404.263230,15717.453217,6000.000000,6000.000000,15,6,73692.930785,41648.943499,40985.105095,40985.105095,50989.767522
2025-04-21,37248.438102,29263.597265,968.140950,3373.354374,0.000000,5033.661302,0.000000,4611.486463,48810.869356,53844.530658,18291.174691,14815.851500,6000.000000,6000.000000,27,6,48814.127302,37114.629599,37248.438102,37248.438102,43972.540585
2025-04-22,39559.827353,29204.519517,512.911900,1413.144518,0.000000,10076.988572,0.000000,8942.163318,49236.942398,59313.930969,19138.135453,15501.889717,6000.000000,6000.000000,15,6,72680.586634,41106.135724,39559.827353,39559.827353,44403.713789
2025-04-23,40293.718314,28540.046163,557.476633,1443.082162,0.000000,11338.139494,0.000000,10310.589989,47886.387500,59224.526994,19361.980494,15683.204200,6000.000000,6000.000000,10,3,75203.642722,40887.401319,40293.718314,40293.718314,48500.990194
2025-04-24,37050.360092,28925.543317,757.018767,2107.769573,0.000000,6206.761683,0.000000,6017.047202,48687.269000,54894.030683,20166.666667,16335.000000,6000.000000,6000.000000,21,5,55357.906420,36843.497206,37050.360092,37050.360092,42113.110623
2025-04-25,10819.352672,8720.293233,576.826767,1130.333052,0.000000,1008.608211,0.000000,968.726387,24949.948956,25958.557166,18719.812366,15163.048017,6000.000000,6000.000000,13,2,14853.407580,11385.618140,10819.352672,10819.352672,11824.815200
2025-04-26,11160.184676,9019.947341,498.781000,865.934194,0.000000,1323.959150,0.000000,1274.303141,25152.123983,26476.083133,19495.723333,15791.535900,6000.000000,6000.000000,8,1,22815.776003,12314.834385,11160.184676,11160.184676,12198.344496
2025-04-27,38778.250283,27695.517096,390.553617,883.290457,0.000000,10772.135203,0.000000,10199.442730,47091.770124,57863.905327,19931.170407,16144.248030,6000.000000,6000.000000,11,4,65667.116323,38824.455535,38778.250283,38778.250283,49191.138519
2025-04-28,46293.316893,29078.290593,346.308433,834.494829,0.000000,16647.650320,0.000000,16380.531471,48793.561762,65441.212083,19734.789383,15985.179400,6000.000000,6000.000000,12,5,77105.309846,48808.469991,46293.316893,46293.316893,64194.146931
2025-04-29,37633.031337,26803.173613,457.571500,1096.926602,0.000000,10097.199370,0.000000,9732.931122,45534.555447,55631.754817,18677.329650,15128.637017,6000.000000,6000.000000,13,4,60441.938328,37940.145127,37633.031337,37633.031337,44963.256133
2025-04-30,36746.946537,27276.243390,884.965150,2677.178121,6.239717,7331.594396,3.822138,6789.702887,45662.022229,52987.376908,16883.222062,13675.409870,6000.000000,6000.000000,21,7,62520.538079,38089.050152,36746.946537,36746.946537,45886.575655
2025-05-01,42332.149161,31729.169783,614.880967,1624.368742,0.000000,8315.731505,0.000000,8978.610636,51125.009000,59440.740505,21845.016955,17694.463733,6000.000000,6000.000000,16,4,64161.284247,42586.950761,42332.149161,42332.149161,53458.823585
2025-05-02,14155.711084,11761.209005,403.673383,846.888480,0.000000,1571.707983,0.000000,1547.613599,28606.749265,30178.457249,18022.253765,14598.025550,6000.000000,6000.000000,12,4,25923.818681,14220.035101,14155.711084,14155.711084,14619.483779
2025-05-03,13154.875866,11302.027224,284.680100,527.583914,0.000000,1308.316967,0.000000,1325.264728,27814.680000,29122.996967,17666.666667,14310.000000,6000.000000,6000.000000,7,2,21784.277433,13281.619942,13154.875866,13154.875866,13377.477621
2025-05-04,42156.710041,31911.136929,1444.372950,5102.048289,0.000000,5910.087309,0.000000,5143.524823,50038.510224,55948.597533,18500.000000,14985.000000,6000.000000,6000.000000,40,9,57692.862651,43441.167499,42156.710041,42156.710041,48160.586289
2025-05-05,41993.496222,33948.754021,394.122583,1382.201617,61.224117,8024.805433,28.691769,6633.848815,54809.989157,62773.570474,21437.469074,17364.349950,6000.000000,6000.000000,20,6,63027.912306,43527.349946,41993.496222,41993.496222,47834.612046
2025-05-06,44493.613624,31308.034099,777.543350,2988.208424,0.000000,9988.711817,0.000000,10197.371101,49689.368517,59678.080333,19333.333333,15660.000000,6000.000000,6000.000000,16,5,75409.569520,45815.362179,44493.613624,44493.613624,58416.478068
2025-05-07,44568.977800,32505.964941,274.691900,897.951348,0.000000,11848.588195,0.000000,11165.061511,51226.805067,63075.393261,18882.769095,15295.042967,6000.000000,6000.000000,14,4,72318.281220,45815.429876,44568.977800,44568.977800,55243.081191
2025-05-08,45673.859103,30831.808446,412.838200,1223.042157,0.000000,14606.607407,0.000000,13619.008500,49839.728950,64446.336357,20877.501002,16910.775812,6000.000000,6000.000000,13,4,69742.150064,46639.990806,45673.859103,45673.859103,50676.461957
2025-05-09,13555.600627,10543.539485,313.047067,727.137915,0.000000,2277.070367,0.000000,2284.923227,26467.210151,28744.280517,16864.810617,13660.496600,6000.000000,6000.000000,10,3,20532.186981,13917.566048,13555.600627,13555.600627,14395.995743
2025-05-10,13517.534529,11159.101242,282.415100,485.478653,0.000000,1937.166583,0.000000,1872.954633,27322.039033,29259.205617,17683.313800,14323.484178,6000.000000,6000.000000,10,4,27752.695972,13980.517191,13517.534529,13517.534529,13485.780895
2025-05-11,44680.858788,30943.685553,456.142517,1033.905355,0.000000,13428.925155,0.000000,12703.267880,49171.558776,62600.483931,18491.837444,14978.388329,6000.000000,6000.000000,12,4,69999.375891,47205.654665,44680.858788,44680.858788,52737.052783
2025-05-12,43825.169893,29642.935815,350.445233,1020.015973,0.000000,13695.406107,0.000000,13162.218106,47086.597666,60782.003773,18212.754157,14752.330867,6000.000000,6000.000000,13,8,75954.014303,46419.443985,43825.169893,43825.169893,50327.727809
2025-05-13,41145.690017,31024.623193,359.761483,997.367399,0.000000,9980.089336,0.000000,9123.699425,51622.810721,61602.900056,22565.817490,18278.312167,6000.000000,6000.000000,11,4,60224.488091,42065.798301,41145.690017,41145.690017,43644.800018
2025-05-14,42965.757144,31146.902492,230.370733,841.151110,0.000000,12090.926677,0.000000,10977.703542,50319.896889,62410.823566,19527.446489,15817.231656,6000.000000,6000.000000,11,4,58079.652106,46484.885484,42965.757144,42965.757144,52481.506135
2025-05-15,41397.780929,31964.484100,264.314650,680.259888,0.000000,9949.704120,0.000000,8753.036942,50979.434589,60929.138709,19262.367766,15602.517891,6000.000000,6000.000000,10,3,58076.980808,46912.697484,41397.780929,41397.780929,49755.951671
2025-05-16,12429.174325,10610.212075,342.149833,615.730911,2.244300,1152.997583,0.886835,1202.344504,26343.664217,27494.417500,16833.333333,13635.000000,6000.000000,6000.000000,8,2,17385.211265,12633.087957,12429.174325,12429.174325,13187.823732
2025-05-17,13683.063961,10797.493327,556.902600,1207.411773,0.000000,1615.287500,0.000000,1678.158862,26816.336245,28431.623744,18415.016461,14916.163333,6000.000000,6000.000000,18,4,23148.885086,13697.526259,13683.063961,13683.063961,14672.823212
2025-05-18,43368.750676,30786.156811,231.856617,538.650922,0.000000,13197.472694,0.000000,12043.942943,50613.196398,63810.669093,19842.923294,16072.767868,6000.000000,6000.000000,6,1,57688.405538,45121.857584,43368.750676,43368.750676,48212.629431
2025-05-19,38941.032936,29746.690133,224.223550,590.225055,0.000000,9414.406986,0.000000,8604.117748,47931.647630,57346.054617,17666.666667,14310.000000,6000.000000,6000.000000,8,3,56260.103421,39787.427313,38941.032936,38941.032936,45970.912662
2025-05-20,43958.680002,29852.599490,311.036100,988.169448,0.000000,13984.431941,0.000000,13117.911064,49249.830610,63234.262551,21548.248688,17454.081437,6000.000000,6000.000000,16,5,77199.455314,45407.163873,43958.680002,43958.680002,51504.718759
2025-05-21,42884.381044,29870.806230,212.812983,495.325519,0.000000,13307.330055,0.000000,12518.249295,47563.234309,60870.564364,20718.015688,16781.592707,6000.000000,6000.000000,9,4,66685.763383,45227.884213,42884.381044,42884.381044,49454.743385
2025-05-22,39241.267631,30645.734204,254.973067,711.311172,0.000000,9010.456735,0.000000,7884.222256,49792.499417,58802.956151,19367.142901,15687.385750,6000.000000,6000.000000,14,7,59068.611309,40507.076721,39241.267631,39241.267631,42646.249741
2025-05-23,12364.739567,10120.299382,171.952267,272.569872,0.000000,2519.738133,0.000000,1971.870312,26256.750511,28776.488644,17949.021111,14538.707100,6000.000000,6000.000000,6,1,22757.460625,12212.074071,12364.739567,12364.739567,13246.214268
