date,cost_cny,planned_purchase_kwh,planned_cost_cny,emergency_energy_kwh,emergency_cost_cny,emergency_slots,emergency_blocks,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh,soc_min_kwh,soc_max_kwh,curtail_kwh,expected_cost_cny
2025-03-01,41706.802530,84721.549966,41706.802530,0.000000,0.000000,0,0,25353.041042,20535.963244,6000.000000,6000.000000,1200.000000,10800.000000,20724.974119,43566.309559
2025-03-02,62667.602266,83839.109038,55237.940569,1595.761531,7429.661697,32,7,25846.250416,20935.462837,6000.000000,6000.000000,1200.000000,10800.000000,2633.651498,57832.128031
2025-03-03,57075.640246,83817.295660,55406.871227,331.414752,1668.769019,22,9,23976.000000,19420.560000,6000.000000,6000.000000,1200.000000,10800.000000,1871.208402,58016.040799
2025-03-04,55797.355296,83924.606443,55357.401480,130.537334,439.953816,15,5,24176.457140,19582.930283,6000.000000,6000.000000,1200.000000,10800.000000,3276.553720,57906.448155
2025-03-05,54437.766417,83493.679846,53966.870342,88.522700,470.896074,11,7,24000.000000,19440.000000,6000.000000,6000.000000,1200.000000,10800.000000,4441.176841,56643.095630
2025-03-06,54054.464394,82592.084177,53409.119739,156.670817,645.344655,12,5,23938.464318,19390.156098,6000.000000,6000.000000,1200.000000,10800.000000,4558.421164,56282.354210
2025-03-07,39136.269556,81835.925343,39136.269556,0.000000,0.000000,0,0,24950.109799,20209.588937,6000.000000,6000.000000,1200.000000,10800.000000,21877.486892,41176.885888
2025-03-08,38475.417259,81260.282786,38475.417259,0.000000,0.000000,0,0,26248.917571,21261.623232,6000.000000,6000.000000,1200.000000,10800.000000,22957.899648,40394.577208
2025-03-09,51327.420089,80088.968629,50632.186291,124.327117,695.233797,7,4,23795.336995,19274.222966,6000.000000,6000.000000,1200.000000,10800.000000,4662.318144,53016.849004
2025-03-10,54908.449485,79906.245638,52473.131594,737.166722,2435.317891,25,12,22881.377041,18533.915403,6000.000000,6000.000000,1200.000000,10800.000000,3184.588694,55004.626301
2025-03-11,51902.199209,80187.219246,51524.285478,101.702317,377.913731,11,8,23765.110986,19249.739899,6000.000000,6000.000000,1200.000000,10800.000000,4839.107608,54022.187180
2025-03-12,50784.265946,79351.910603,50137.511522,187.269589,646.754424,16,8,23932.355892,19385.208272,6000.000000,6000.000000,1200.000000,10800.000000,4994.710817,52400.755342
2025-03-13,55477.526052,78928.099664,50849.940005,1115.498502,4627.586047,36,11,23241.592885,18825.690237,6000.000000,6000.000000,1200.000000,10800.000000,2754.257991,53360.819536
2025-03-14,36343.491273,79354.770448,36343.491273,0.000000,0.000000,0,0,27548.846018,22314.565275,6000.000000,6000.000000,1200.000000,10800.000000,24700.537658,38152.598378
2025-03-15,37412.603035,78331.323565,37393.134217,8.028379,19.468818,1,1,24897.293461,20166.807703,6000.000000,6000.000000,1200.000000,10800.000000,22184.009260,39214.982646
2025-03-16,49667.488749,77628.193092,49206.075038,104.275110,461.413711,9,5,22967.973157,18604.058257,6000.000000,6000.000000,1200.000000,10800.000000,3924.192408,51673.373133
2025-03-17,48521.196181,77578.077444,47851.253806,122.138356,669.942374,11,9,22902.410416,18550.952437,6000.000000,6000.000000,1200.000000,10800.000000,6640.371565,50260.031663
2025-03-18,48824.231355,77677.974956,48623.264309,67.473683,200.967046,7,5,23152.307119,18753.368767,6000.000000,6000.000000,1200.000000,10800.000000,4395.410044,51123.541736
2025-03-19,47670.490228,77213.038079,47584.268233,34.264417,86.221995,4,3,24623.750528,19945.237928,6000.000000,6000.000000,1200.000000,10800.000000,5081.428273,50018.054067
2025-03-20,48836.809915,76719.477578,47913.718462,183.121183,923.091453,11,7,23345.226719,18909.633643,6000.000000,6000.000000,1200.000000,10800.000000,4482.510411,50459.145053
2025-03-21,33999.664209,76318.610481,33999.664209,0.000000,0.000000,0,0,24096.746293,19518.364497,6000.000000,6000.000000,1200.000000,10800.000000,26028.049026,35803.791017
2025-03-22,34564.769506,75902.235258,34553.352749,6.355000,11.416758,1,1,24916.161084,20182.090478,6000.000000,6000.000000,1200.000000,10800.000000,23378.945853,36440.094300
2025-03-23,46656.565921,74944.150311,45995.948867,151.362013,660.617054,15,11,23126.143348,18732.176112,6000.000000,6000.000000,1200.000000,10800.000000,5294.008372,48628.004670
2025-03-24,46349.928223,74864.783645,45963.818553,137.880637,386.109670,9,5,23101.779266,18712.441205,6000.000000,6000.000000,1200.000000,10800.000000,5441.322224,48657.721518
2025-03-25,47243.581863,74902.290503,46233.138292,246.763597,1010.443570,22,13,23085.847251,18699.536273,6000.000000,6000.000000,1200.000000,10800.000000,4285.260222,48964.236621
2025-03-26,45416.393283,74203.595890,45041.810430,121.512338,374.582852,12,7,22166.666667,17955.000000,6000.000000,6000.000000,1200.000000,10800.000000,6095.646129,47642.115795
2025-03-27,45635.073203,74077.800313,44955.261562,209.731811,679.811641,19,8,23087.638481,18700.987170,6000.000000,6000.000000,1200.000000,10800.000000,4508.896890,47687.778093
2025-03-28,32844.680976,73999.500591,32844.680976,0.000000,0.000000,0,0,23989.611978,19431.585702,6000.000000,6000.000000,1200.000000,10800.000000,25986.837634,34689.306774
2025-03-29,32433.430574,73589.138444,32433.430574,0.000000,0.000000,0,0,23847.937023,19316.828988,6000.000000,6000.000000,1200.000000,10800.000000,28458.713783,34229.355581
2025-03-30,43954.799279,72626.269724,43227.380379,250.509952,727.418900,21,10,22041.495513,17853.611365,6000.000000,6000.000000,1200.000000,10800.000000,5705.229668,45903.890950
2025-03-31,44225.658289,72683.950338,44037.616473,66.293898,188.041816,10,7,22565.238977,18277.843572,6000.000000,6000.000000,1200.000000,10800.000000,5466.675125,46838.408972
2025-04-01,46618.259833,72535.173123,45123.450380,485.454264,1494.809453,33,10,21827.896315,17680.596015,6000.000000,6000.000000,1200.000000,10800.000000,4668.623865,48050.578545
2025-04-02,46281.160172,71860.749663,43781.874517,546.858668,2499.285655,29,11,22037.634053,17850.483583,6000.000000,6000.000000,1200.000000,10800.000000,2644.538282,46509.123463
2025-04-03,44007.664860,71307.134946,43101.793328,246.973654,905.871532,18,9,23550.295700,19075.739517,6000.000000,6000.000000,1200.000000,10800.000000,4876.534653,45486.684439
2025-04-04,31156.250441,70579.739244,31156.250441,0.000000,0.000000,0,0,22756.411852,18432.693600,6000.000000,6000.000000,1200.000000,10800.000000,28870.300367,32690.956509
2025-04-05,31518.644017,70379.587025,31518.644017,0.000000,0.000000,0,0,23382.272798,18939.640967,6000.000000,6000.000000,1200.000000,10800.000000,24312.918877,33035.593792
2025-04-06,42642.856361,69436.332293,41928.911107,173.609968,713.945254,13,11,21792.699115,17652.086283,6000.000000,6000.000000,1200.000000,10800.000000,5663.173451,44146.780900
2025-04-07,42015.522803,69564.704623,41665.218234,118.920128,350.304569,11,8,22626.032449,18327.086283,6000.000000,6000.000000,1200.000000,10800.000000,6640.816818,43903.065804
2025-04-08,41775.767014,69525.730943,41289.409866,127.125033,486.357148,16,11,21817.892531,17672.492950,6000.000000,6000.000000,1200.000000,10800.000000,5151.977910,43450.265036
2025-04-09,42621.276307,69259.015224,41719.090815,299.132951,902.185492,21,10,22580.017284,18289.814000,6000.000000,6000.000000,1200.000000,10800.000000,2911.657733,44119.411509
2025-04-10,41985.992691,68806.896628,40778.971102,294.012429,1207.021589,21,11,23322.070370,18890.877000,6000.000000,6000.000000,1200.000000,10800.000000,4116.329250,42935.838760
2025-04-11,29817.216301,68585.397277,29817.216301,0.000000,0.000000,0,0,23487.799774,19025.117817,6000.000000,6000.000000,1200.000000,10800.000000,29496.524735,31205.489636
2025-04-12,29943.371942,68163.691766,29943.371942,0.000000,0.000000,0,0,23286.438646,18862.015303,6000.000000,6000.000000,1200.000000,10800.000000,27276.734520,31422.298103
2025-04-13,40823.338246,67312.783404,40191.182507,158.619057,632.155739,13,7,23462.809853,19004.875981,6000.000000,6000.000000,1200.000000,10800.000000,4222.913031,42096.647450
2025-04-14,40670.207351,67328.529846,39712.982621,257.827999,957.224730,19,12,22843.458797,18503.201625,6000.000000,6000.000000,1200.000000,10800.000000,5198.781892,41533.956795
2025-04-15,39776.736128,67272.877409,39170.013657,126.262539,606.722471,14,8,22475.043025,18204.784850,6000.000000,6000.000000,1200.000000,10800.000000,6362.061567,40963.427582
2025-04-16,41440.897394,66620.873833,40017.064493,463.217200,1423.832901,26,11,22385.684547,18132.404483,6000.000000,6000.000000,1200.000000,10800.000000,3685.909082,41905.636135
2025-04-17,39303.318191,66424.063156,38956.210266,92.128281,347.107925,12,8,21848.620098,17697.382279,6000.000000,6000.000000,1200.000000,10800.000000,4456.173996,40809.077834
2025-04-18,29206.610264,66372.693295,29206.610264,0.000000,0.000000,0,0,22912.523261,18559.143842,6000.000000,6000.000000,1200.000000,10800.000000,28454.078565,30531.201987
2025-04-19,28723.192109,66213.749501,28723.192109,0.000000,0.000000,0,0,22818.426855,18482.925752,6000.000000,6000.000000,1200.000000,10800.000000,27215.968383,30020.314889
2025-04-20,38723.583928,65207.805005,38440.073010,96.170250,283.510918,13,9,21578.137909,17478.291706,6000.000000,6000.000000,1200.000000,10800.000000,4759.047198,40338.504848
2025-04-21,38660.458121,65280.668442,37888.271811,274.022429,772.186309,25,10,22071.986153,17878.308784,6000.000000,6000.000000,1200.000000,10800.000000,6869.919842,39767.297275
2025-04-22,39169.112089,65294.293671,38602.271908,159.699340,566.840181,14,9,21568.680333,17470.631070,6000.000000,6000.000000,1200.000000,10800.000000,4891.669481,40531.355388
2025-04-23,39474.706706,64944.817889,38430.228133,299.874767,1044.478573,22,11,21988.217842,17810.456452,6000.000000,6000.000000,1200.000000,10800.000000,5582.070357,40423.340229
2025-04-24,38315.916489,64676.129595,37751.311268,130.310153,564.605221,15,8,21528.485123,17438.072950,6000.000000,6000.000000,1200.000000,10800.000000,7800.395128,39680.213076
2025-04-25,27211.122431,64864.097339,27211.122431,0.000000,0.000000,0,0,24236.793468,19631.802709,6000.000000,6000.000000,1200.000000,10800.000000,31306.467791,28365.037085
2025-04-26,27177.585626,64521.764662,27177.585626,0.000000,0.000000,0,0,23746.904444,19234.992600,6000.000000,6000.000000,1200.000000,10800.000000,33791.190633,28319.654721
2025-04-27,36893.580788,63544.163364,36410.632471,197.086350,482.948316,13,8,22284.930247,18050.793500,6000.000000,6000.000000,1200.000000,10800.000000,5613.631680,38295.824149
2025-04-28,45620.687199,63097.182396,37694.802655,2188.633496,7925.884544,44,14,20797.486002,16845.963661,6000.000000,6000.000000,1200.000000,10800.000000,2029.110531,39909.505667
2025-04-29,36905.099078,64001.346795,36550.191358,77.493167,354.907720,12,9,22836.954383,18497.933050,6000.000000,6000.000000,1200.000000,10800.000000,8124.889082,38511.810807
2025-04-30,37652.152599,63439.815057,36756.018619,277.447583,896.133980,21,12,21239.087323,17203.660732,6000.000000,6000.000000,1200.000000,10800.000000,6945.244184,38840.278943
2025-05-01,47026.739942,63566.148280,37232.986391,2052.309648,9793.753551,47,7,23622.965062,19134.601700,6000.000000,6000.000000,1200.000000,10800.000000,6064.383017,39326.456004
2025-05-02,29048.115916,62995.037770,29048.115916,0.000000,0.000000,0,0,22238.168073,18012.916139,6000.000000,6000.000000,1200.000000,10800.000000,23392.295455,30551.812832
2025-05-03,28126.436856,62549.471702,28109.907790,7.946667,16.529067,1,1,22976.336132,18610.832267,6000.000000,6000.000000,1200.000000,10800.000000,26710.929921,29577.975377
2025-05-04,47286.543541,61602.770429,37131.488998,2293.821787,10155.054543,53,9,20636.930485,16715.913693,6000.000000,6000.000000,1200.000000,10800.000000,6030.951245,39172.125312
2025-05-05,46165.746223,62227.475132,36908.554566,2051.885206,9257.191657,59,10,21857.933258,17704.925939,6000.000000,6000.000000,1200.000000,10800.000000,2148.613544,39130.284854
2025-05-06,45992.014566,62603.406971,37356.140255,1949.766359,8635.874311,46,9,22185.344095,17970.128717,6000.000000,6000.000000,1200.000000,10800.000000,4156.800627,39422.373288
2025-05-07,46093.233431,62297.167731,37384.548717,1826.830352,8708.684714,55,11,21039.735466,17042.185728,6000.000000,6000.000000,1200.000000,10800.000000,3339.073341,39722.450730
2025-05-08,47916.524982,62353.541835,37440.340343,2374.246512,10476.184639,59,10,20742.708345,16801.593760,6000.000000,6000.000000,1200.000000,10800.000000,2668.574283,39931.600575
2025-05-09,28456.284179,63118.964821,28456.284179,0.000000,0.000000,0,0,22257.529938,18028.599250,6000.000000,6000.000000,1200.000000,10800.000000,26677.698452,30095.018567
2025-05-10,28525.561190,62691.642905,28525.561190,0.000000,0.000000,0,0,21941.069753,17772.266500,6000.000000,6000.000000,1200.000000,10800.000000,23170.413167,30067.632431
2025-05-11,44749.965995,61819.709999,37455.255532,1679.637341,7294.710463,54,17,20122.405419,16299.148389,6000.000000,6000.000000,1200.000000,10800.000000,2329.620961,39612.657092
2025-05-12,43158.664116,61942.676153,37689.173758,1532.061489,5469.490358,38,14,20031.995650,16225.916476,6000.000000,6000.000000,1200.000000,10800.000000,5613.650674,39938.800752
2025-05-13,40133.332167,62854.415757,37477.133764,635.634971,2656.198403,25,10,22615.293573,18318.387794,6000.000000,6000.000000,1200.000000,10800.000000,3119.616955,39566.242869
2025-05-14,39597.038489,62360.813265,37077.879035,685.534176,2519.159454,29,10,20966.662969,16982.997005,6000.000000,6000.000000,1200.000000,10800.000000,3442.381684,39201.189814
2025-05-15,39927.837493,62663.313926,37691.569953,568.460978,2236.267540,33,12,21703.624892,17579.936163,6000.000000,6000.000000,1200.000000,10800.000000,3493.408918,39702.909491
2025-05-16,28164.492653,63261.214885,28164.492653,0.000000,0.000000,0,0,21775.022628,17637.768328,6000.000000,6000.000000,1200.000000,10800.000000,31381.897558,29410.187722
2025-05-17,29074.525572,62735.778292,29074.525572,0.000000,0.000000,0,0,22725.946523,18408.016683,6000.000000,6000.000000,1200.000000,10800.000000,25914.989376,30473.571191
2025-05-18,41279.988320,61651.050623,37214.946485,1386.374241,4065.041835,39,17,19627.223381,15898.050939,6000.000000,6000.000000,1200.000000,10800.000000,2945.768015,39406.490558
2025-05-19,38595.003294,62205.152018,36810.200827,317.323135,1784.802468,16,11,20753.011567,16809.939369,6000.000000,6000.000000,1200.000000,10800.000000,5859.464127,38793.168824
2025-05-20,44202.152246,62064.224598,37035.135141,1721.215973,7167.017105,36,12,20434.637838,16552.056649,6000.000000,6000.000000,1200.000000,10800.000000,3082.488267,39243.532266
2025-05-21,41100.853315,62158.370381,37439.365468,960.350778,3661.487847,34,14,19860.643916,16087.121572,6000.000000,6000.000000,1200.000000,10800.000000,5250.824686,39577.192315
2025-05-22,37979.566083,62397.811434,37354.986757,135.266097,624.579326,11,8,19920.265491,16135.415048,6000.000000,6000.000000,1200.000000,10800.000000,4826.085705,39439.259537
2025-05-23,28140.658170,62845.801722,28140.658170,0.000000,0.000000,0,0,21998.978472,17819.172562,6000.000000,6000.000000,1200.000000,10800.000000,27702.134860,29604.450304
2025-05-24,28446.176678,63009.193867,28446.176678,0.000000,0.000000,0,0,21099.521295,17090.612249,6000.000000,6000.000000,1200.000000,10800.000000,29523.970013,29779.238962
2025-05-25,38503.568136,62598.644982,37323.491552,242.504150,1180.076583,12,8,20955.438099,16973.904860,6000.000000,6000.000000,1200.000000,10800.000000,5935.022627,39303.583029
2025-05-26,42891.623304,62139.862343,37210.211225,1570.252593,5681.412079,30,11,20105.699949,16285.616959,6000.000000,6000.000000,1200.000000,10800.000000,2437.396499,39437.360467
2025-05-27,38359.752769,62914.338089,37149.310733,336.574717,1210.442035,25,12,22081.275881,17885.833464,6000.000000,6000.000000,1200.000000,10800.000000,4662.797431,39247.717592
2025-05-28,40899.848321,62321.783616,37518.250356,976.503175,3381.597965,30,12,20806.191762,16853.015327,6000.000000,6000.000000,1200.000000,10800.000000,3943.829253,39827.980940
2025-05-29,40716.603991,61849.861872,37204.074757,881.873554,3512.529234,36,14,19303.411796,15635.763555,6000.000000,6000.000000,1200.000000,10800.000000,1927.034852,39380.771137
2025-05-30,28589.254444,62994.027567,28589.254444,0.000000,0.000000,0,0,21941.295411,17772.449283,6000.000000,6000.000000,1200.000000,10800.000000,27191.648320,29918.334952
2025-05-31,28049.352474,63610.632289,27805.149994,92.186667,244.202480,1,1,25474.016720,20633.953543,6000.000000,6000.000000,1200.000000,10800.000000,26018.082301,29155.300740
2025-06-01,101420.443771,61377.743388,40538.695416,13978.874603,60881.748356,119,4,17861.723301,14467.995874,6000.000000,6000.000000,1200.000000,10800.000000,371.965866,42937.327631
2025-06-02,88892.728446,63535.207337,41099.852910,10464.044317,47792.875537,112,7,19628.938190,15899.439934,6000.000000,6000.000000,1200.000000,10800.000000,653.850200,44533.530395
2025-06-03,77916.579110,64472.125362,42048.450190,8016.441132,35868.128920,122,11,19876.659813,16100.094449,6000.000000,6000.000000,1200.000000,10800.000000,278.248464,46610.337606
2025-06-04,75932.486800,66154.738547,43526.883748,8030.237893,32405.603052,117,10,20703.806544,16770.083301,6000.000000,6000.000000,1200.000000,10800.000000,406.129514,48300.386465
2025-06-05,78385.663013,67737.049603,44792.820112,7898.888457,33592.842901,121,11,20710.224227,16775.281624,6000.000000,6000.000000,1200.000000,10800.000000,283.117632,49564.827085
2025-06-06,36900.580574,70505.415434,36900.580574,0.000000,0.000000,0,0,23367.170991,18927.408503,6000.000000,6000.000000,1200.000000,10800.000000,16306.182610,40092.387976
2025-06-07,36801.230568,70143.813114,36710.112050,36.748747,91.118517,1,1,21853.983621,17701.726733,6000.000000,6000.000000,1200.000000,10800.000000,14945.714413,39904.946748
2025-06-08,59609.883170,69756.505639,45783.851628,3382.711695,13826.031542,88,17,21024.601319,17029.927068,6000.000000,6000.000000,1200.000000,10800.000000,3080.842155,49930.772338
2025-06-09,70260.561139,70979.331847,47406.888835,5111.504937,22853.672304,97,16,20942.917767,16963.763391,6000.000000,6000.000000,1200.000000,10800.000000,620.116237,51310.896010
2025-06-10,68609.456943,72197.770078,48026.767894,4899.110801,20582.689049,94,20,21202.776166,17174.248694,6000.000000,6000.000000,1200.000000,10800.000000,714.322967,51880.786771
2025-06-11,84763.667649,73812.106110,48900.424844,7471.908709,35863.242805,102,15,22724.757188,18407.053322,6000.000000,6000.000000,1200.000000,10800.000000,30.648000,52621.744583
2025-06-12,66728.203224,74992.644571,50274.048047,3631.446974,16454.155177,65,17,20543.407017,16640.159684,6000.000000,6000.000000,1200.000000,10800.000000,644.993346,54018.696837
2025-06-13,39803.132174,76534.311945,39803.132174,0.000000,0.000000,0,0,23519.759207,19051.004958,6000.000000,6000.000000,1200.000000,10800.000000,17542.326225,42498.806714
2025-06-14,40428.595333,76881.718530,40428.595333,0.000000,0.000000,0,0,25276.171000,20473.698510,6000.000000,6000.000000,1200.000000,10800.000000,21237.394540,43082.039462
2025-06-15,60393.947244,76081.331624,51000.412977,2013.667050,9393.534266,45,14,21167.074707,17145.330513,6000.000000,6000.000000,1200.000000,10800.000000,617.017417,54546.025292
2025-06-16,62039.981839,76719.453528,51896.895689,2312.429962,10143.086150,64,20,21640.613304,17528.896776,6000.000000,6000.000000,1200.000000,10800.000000,350.445056,55334.788143
2025-06-17,70966.322938,77612.925058,52336.370619,3849.987213,18629.952319,61,19,21967.702697,17793.839185,6000.000000,6000.000000,1200.000000,10800.000000,950.911324,55546.778600
2025-06-18,57599.693230,78298.114812,53328.245571,1108.196653,4271.447659,40,17,21246.759176,17209.874932,6000.000000,6000.000000,1200.000000,10800.000000,2091.835409,56499.899112
2025-06-19,56462.882731,78886.355235,52809.595843,692.209459,3653.286888,29,15,21843.168827,17692.966750,6000.000000,6000.000000,1200.000000,10800.000000,2899.489833,55711.036389
2025-06-20,40892.848232,79942.548501,40892.848232,0.000000,0.000000,0,0,26611.691175,21555.469852,6000.000000,6000.000000,1200.000000,10800.000000,23628.358385,43060.793332
2025-06-21,39492.546660,79657.694551,39492.546660,0.000000,0.000000,0,0,25095.578462,20327.418554,6000.000000,6000.000000,1200.000000,10800.000000,23236.457587,41568.302299
2025-06-22,56255.142847,79511.578644,52930.626570,738.506784,3324.516277,27,11,25274.364244,20472.235037,6000.000000,6000.000000,1200.000000,10800.000000,3189.402089,55981.091732
2025-06-23,54783.790554,79206.049623,52818.654226,396.358667,1965.136328,20,11,22333.333333,18090.000000,6000.000000,6000.000000,1200.000000,10800.000000,3076.155841,55757.216783
2025-06-24,72027.809715,79529.756192,54600.439780,3689.288096,17427.369935,64,15,23017.963362,18644.550323,6000.000000,6000.000000,1200.000000,10800.000000,343.588975,57681.591091
2025-06-25,58664.732945,79713.173286,53559.440212,1199.545494,5105.292733,22,10,20887.187819,16918.622134,6000.000000,6000.000000,1200.000000,10800.000000,1343.211838,56689.060280
2025-06-26,54834.344203,80365.206383,52980.528781,343.169567,1853.815422,23,13,22970.164047,18605.832878,6000.000000,6000.000000,1200.000000,10800.000000,2453.625328,55966.800308
2025-06-27,39844.833679,80601.691001,39844.833679,0.000000,0.000000,0,0,23976.323264,19420.821843,6000.000000,6000.000000,1200.000000,10800.000000,22723.294413,41987.115137
2025-06-28,40793.795740,81020.537638,40793.795740,0.000000,0.000000,0,0,25872.991557,20957.123161,6000.000000,6000.000000,1200.000000,10800.000000,21850.536344,42944.765015
2025-06-29,56942.316829,80114.758519,54236.819353,718.992550,2705.497476,26,12,21329.697490,17277.054967,6000.000000,6000.000000,1200.000000,10800.000000,3054.941533,57192.547617
2025-06-30,56497.966959,80473.664115,53720.765566,698.416801,2777.201393,26,14,22091.777464,17894.339745,6000.000000,6000.000000,1200.000000,10800.000000,1728.516552,56556.485694
2025-07-01,85127.527449,80851.734258,58653.569483,6306.356943,26473.957966,94,8,23279.780866,18856.622502,6000.000000,6000.000000,1200.000000,10800.000000,1941.957236,61679.828877
2025-07-02,82617.468839,80936.363118,58442.589080,5734.076982,24174.879759,82,4,22742.042901,18421.054750,6000.000000,6000.000000,1200.000000,10800.000000,5536.087499,62309.437628
2025-07-03,88395.461890,80987.309293,60090.764860,6397.737433,28304.697030,92,7,21104.403210,17094.566600,6000.000000,6000.000000,1200.000000,10800.000000,1689.210433,64716.869306
2025-07-04,45643.129391,82367.094253,45643.129391,0.000000,0.000000,0,0,25373.692387,20552.690833,6000.000000,6000.000000,1200.000000,10800.000000,20689.206500,49717.766059
2025-07-05,45922.811641,82261.431786,45734.219731,71.153333,188.591910,1,1,25826.440453,20919.416767,6000.000000,6000.000000,1200.000000,10800.000000,22881.062300,49758.319445
2025-07-06,89600.831316,81504.404271,59904.478473,6540.305350,29696.352844,96,5,22568.520988,18280.502000,6000.000000,6000.000000,1200.000000,10800.000000,1911.813283,65246.882380
