date,k_rise,k_set,sunrise,sunset,day_hours,night_core_hours,theta_d,peak_d
2025-05-06,33,111,5:20,18:20,13,11,91.1475,9114.75
2025-05-07,33,111,5:20,18:20,13,11,88.7212,8872.1198
2025-05-08,33,111,5:20,18:20,13,11,79.0263,7902.6323
2025-05-09,33,111,5:20,18:20,13,11,85.0395,8503.9468
2025-05-10,33,111,5:20,18:20,13,11,84.2937,8429.3679
2025-05-11,33,111,5:20,18:20,13,11,85.6792,8567.925
2025-05-12,33,111,5:20,18:20,13,11,86.3198,8631.9801
2025-05-13,32,111,5:10,18:20,13.1667,10.8333,82.8626,8286.2625
2025-05-14,32,112,5:10,18:30,13.3333,10.6667,83.3161,8331.611
2025-05-15,32,112,5:10,18:30,13.3333,10.6667,89.158,8915.797
2025-05-16,32,112,5:10,18:30,13.3333,10.6667,93.9839,9398.3872
2025-05-17,32,112,5:10,18:30,13.3333,10.6667,82.2647,8226.474
2025-05-18,32,112,5:10,18:30,13.3333,10.6667,82.2899,8228.9882
2025-05-19,32,112,5:10,18:30,13.3333,10.6667,97.9155,9791.55
2025-05-20,32,112,5:10,18:30,13.3333,10.6667,80.331,8033.105
2025-05-21,32,112,5:10,18:30,13.3333,10.6667,88.3486,8834.8555
2025-05-22,32,112,5:10,18:30,13.3333,10.6667,84.1594,8415.9375
2025-05-23,32,112,5:10,18:30,13.3333,10.6667,87.7628,8776.2758
2025-05-24,32,112,5:10,18:30,13.3333,10.6667,90.2493,9024.9261
2025-05-25,32,112,5:10,18:30,13.3333,10.6667,93.504,9350.4
2025-05-26,32,112,5:10,18:30,13.3333,10.6667,79.0222,7902.2191
2025-05-27,32,112,5:10,18:30,13.3333,10.6667,92.6089,9260.8875
2025-05-28,32,112,5:10,18:30,13.3333,10.6667,87.752,8775.1952
2025-05-29,32,113,5:10,18:40,13.5,10.5,87.7737,8777.3689
2025-05-30,31,112,5:00,18:30,13.5,10.5,99.237,9923.7033
2025-05-31,31,113,5:00,18:40,13.6667,10.3333,88.544,8854.4041
2025-06-01,31,113,5:00,18:40,13.6667,10.3333,71.9654,7196.5431
2025-06-02,32,112,5:10,18:30,13.3333,10.6667,85.4465,8544.6515
2025-06-03,32,112,5:10,18:30,13.3333,10.6667,80.9445,8094.45
2025-06-04,31,113,5:00,18:40,13.6667,10.3333,73.9622,7396.2173
2025-06-05,31,113,5:00,18:40,13.6667,10.3333,72.9393,7293.9266
2025-06-06,31,113,5:00,18:40,13.6667,10.3333,68.0951,6809.5125
2025-06-07,31,113,5:00,18:40,13.6667,10.3333,67.983,6798.3
2025-06-08,31,113,5:00,18:40,13.6667,10.3333,79.7675,7976.7529
2025-06-09,31,113,5:00,18:40,13.6667,10.3333,74.5804,7458.0375
2025-06-10,31,113,5:00,18:40,13.6667,10.3333,73.8952,7389.523
2025-06-11,31,113,5:00,18:40,13.6667,10.3333,72.2539,7225.3875
2025-06-12,31,113,5:00,18:40,13.6667,10.3333,72.3644,7236.442
2025-06-13,31,113,5:00,18:40,13.6667,10.3333,72.4545,7245.4464
2025-06-14,31,113,5:00,18:40,13.6667,10.3333,70.1474,7014.7419
2025-06-15,31,113,5:00,18:40,13.6667,10.3333,71.6841,7168.4094
2025-06-16,31,113,5:00,18:40,13.6667,10.3333,74.0313,7403.1285
2025-06-17,31,113,5:00,18:40,13.6667,10.3333,67.0171,6701.7119
2025-06-18,31,113,5:00,18:40,13.6667,10.3333,67.7044,6770.4375
2025-06-19,31,113,5:00,18:40,13.6667,10.3333,78.6402,7864.0204
2025-06-20,31,113,5:00,18:40,13.6667,10.3333,71.8904,7189.044
2025-06-21,31,113,5:00,18:40,13.6667,10.3333,86.0579,8605.7877
2025-06-22,31,113,5:00,18:40,13.6667,10.3333,74.5799,7457.995
2025-06-23,31,113,5:00,18:40,13.6667,10.3333,76.28,7627.9975
2025-06-24,31,113,5:00,18:40,13.6667,10.3333,64.7205,6472.05
2025-06-25,31,113,5:00,18:40,13.6667,10.3333,67.2091,6720.9071
2025-06-26,31,113,5:00,18:40,13.6667,10.3333,80.8152,8081.5233
2025-06-27,31,113,5:00,18:40,13.6667,10.3333,79.8696,7986.9642
2025-06-28,31,113,5:00,18:40,13.6667,10.3333,86.2624,8626.2441
2025-06-29,31,113,5:00,18:40,13.6667,10.3333,75.8525,7585.2486
2025-06-30,31,113,5:00,18:40,13.6667,10.3333,75.3499,7534.9875
2025-07-01,31,113,5:00,18:40,13.6667,10.3333,79.4633,7946.325
2025-07-02,31,113,5:00,18:40,13.6667,10.3333,84.1779,8417.7884
2025-07-03,31,113,5:00,18:40,13.6667,10.3333,79.2488,7924.875
2025-07-04,31,113,5:00,18:40,13.6667,10.3333,92.6036,9260.3625
2025-07-05,31,113,5:00,18:40,13.6667,10.3333,89.1057,8910.5671
2025-07-06,31,113,5:00,18:40,13.6667,10.3333,83.3285,8332.8511
2025-07-07,31,113,5:00,18:40,13.6667,10.3333,85.4051,8540.5125
2025-07-08,32,113,5:10,18:40,13.5,10.5,93.8427,9384.2706
2025-07-09,31,113,5:00,18:40,13.6667,10.3333,83.4699,8346.9934
2025-07-10,31,113,5:00,18:40,13.6667,10.3333,89.712,8971.2
2025-07-11,31,113,5:00,18:40,13.6667,10.3333,75.9964,7599.6379
2025-07-12,31,113,5:00,18:40,13.6667,10.3333,83.6044,8360.4385
2025-07-13,31,112,5:00,18:30,13.5,10.5,97.5223,9752.2309
2025-07-14,31,112,5:00,18:30,13.5,10.5,87.2324,8723.2398
2025-07-15,32,112,5:10,18:30,13.3333,10.6667,84.7584,8475.8418
2025-07-16,32,112,5:10,18:30,13.3333,10.6667,88.7424,8874.2427
2025-07-17,32,112,5:10,18:30,13.3333,10.6667,88.1036,8810.3625
2025-07-18,32,112,5:10,18:30,13.3333,10.6667,81.3555,8135.55
2025-07-19,32,112,5:10,18:30,13.3333,10.6667,88.7273,8872.725
2025-07-20,32,112,5:10,18:30,13.3333,10.6667,83.2693,8326.929
2025-07-21,32,112,5:10,18:30,13.3333,10.6667,85.2442,8524.425
2025-07-22,32,112,5:10,18:30,13.3333,10.6667,89.2876,8928.7562
2025-07-23,32,112,5:10,18:30,13.3333,10.6667,88.5769,8857.6875
2025-07-24,32,112,5:10,18:30,13.3333,10.6667,85.6121,8561.2113
2025-07-25,32,112,5:10,18:30,13.3333,10.6667,84.416,8441.5951
2025-07-26,32,112,5:10,18:30,13.3333,10.6667,79.3534,7935.3375
2025-07-27,32,112,5:10,18:30,13.3333,10.6667,86.4218,8642.1774
2025-07-28,32,112,5:10,18:30,13.3333,10.6667,76.627,7662.701
2025-07-29,32,112,5:10,18:30,13.3333,10.6667,78.3273,7832.7313
2025-07-30,33,111,5:20,18:20,13,11,85.2131,8521.3125
2025-07-31,33,111,5:20,18:20,13,11,81.6252,8162.5183
2025-08-01,33,111,5:20,18:20,13,11,94.6877,9468.7681
2025-08-02,33,111,5:20,18:20,13,11,94.0018,9400.1789
2025-08-03,33,111,5:20,18:20,13,11,98.8775,9887.751
2025-08-04,33,111,5:20,18:20,13,11,93.4255,9342.5452
2025-08-05,33,111,5:20,18:20,13,11,91.8694,9186.9375
2025-08-06,33,111,5:20,18:20,13,11,91.3158,9131.5849
2025-08-07,33,111,5:20,18:20,13,11,97.3725,9737.25
2025-08-08,33,111,5:20,18:20,13,11,99.3649,9936.4883
2025-08-09,33,111,5:20,18:20,13,11,89.1522,8915.2186
2025-08-10,33,111,5:20,18:20,13,11,94.4034,9440.3365
2025-08-11,33,111,5:20,18:20,13,11,94.1227,9412.2731
2025-08-12,33,111,5:20,18:20,13,11,91.5952,9159.5196
2025-08-13,33,111,5:20,18:20,13,11,92.6442,9264.4215
2025-08-14,34,110,5:30,18:10,12.6667,11.3333,91.3604,9136.0412
2025-08-15,34,110,5:30,18:10,12.6667,11.3333,94.942,9494.2005
2025-08-16,34,110,5:30,18:10,12.6667,11.3333,97.6433,9764.3257
2025-08-17,34,110,5:30,18:10,12.6667,11.3333,95.9719,9597.187
2025-08-18,34,110,5:30,18:10,12.6667,11.3333,100.039,10003.913
2025-08-19,34,110,5:30,18:10,12.6667,11.3333,91.7617,9176.175
2025-08-20,34,110,5:30,18:10,12.6667,11.3333,86.9377,8693.775
2025-08-21,34,110,5:30,18:10,12.6667,11.3333,89.8489,8984.8875
2025-08-22,34,110,5:30,18:10,12.6667,11.3333,93.1856,9318.5625
2025-08-23,34,110,5:30,18:10,12.6667,11.3333,91.0111,9101.1098
2025-08-24,34,110,5:30,18:10,12.6667,11.3333,100.579,10057.909
2025-08-25,34,110,5:30,18:10,12.6667,11.3333,84.7804,8478.0375
2025-08-26,34,109,5:30,18:00,12.5,11.5,99.2711,9927.1136
2025-08-27,35,109,5:40,18:00,12.3333,11.6667,92.3033,9230.325
2025-08-28,35,109,5:40,18:00,12.3333,11.6667,88.3245,8832.45
2025-08-29,35,109,5:40,18:00,12.3333,11.6667,89.8155,8981.5527
2025-08-30,35,109,5:40,18:00,12.3333,11.6667,96.7423,9674.2253
2025-08-31,35,109,5:40,18:00,12.3333,11.6667,87.3184,8731.8377
2025-09-01,35,109,5:40,18:00,12.3333,11.6667,85.2577,8525.7745
2025-09-02,35,109,5:40,18:00,12.3333,11.6667,92.4897,9248.9692
2025-09-03,35,108,5:40,17:50,12.1667,11.8333,92.4521,9245.2094
2025-09-04,35,108,5:40,17:50,12.1667,11.8333,91.2803,9128.034
2025-09-05,36,108,5:50,17:50,12,12,89.2826,8928.2625
2025-09-06,36,108,5:50,17:50,12,12,97.6755,9767.55
2025-09-07,36,108,5:50,17:50,12,12,87.89,8789.0036
2025-09-08,36,108,5:50,17:50,12,12,89.9564,8995.6357
2025-09-09,36,108,5:50,17:50,12,12,99.6435,9964.3484
2025-09-10,36,108,5:50,17:50,12,12,86.3195,8631.9525
2025-09-11,36,108,5:50,17:50,12,12,98.3411,9834.1074
2025-09-12,36,108,5:50,17:50,12,12,87.3148,8731.4825
2025-09-13,36,108,5:50,17:50,12,12,101.053,10105.321
2025-09-14,36,108,5:50,17:50,12,12,87.4417,8744.1664
2025-09-15,36,107,5:50,17:40,11.8333,12.1667,96.3563,9635.625
2025-09-16,36,107,5:50,17:40,11.8333,12.1667,84.8873,8488.7327
2025-09-17,37,107,6:00,17:40,11.6667,12.3333,91.5844,9158.4375
2025-09-18,37,107,6:00,17:40,11.6667,12.3333,92.1393,9213.9306
2025-09-19,37,107,6:00,17:40,11.6667,12.3333,82.7726,8277.2625
2025-09-20,37,107,6:00,17:40,11.6667,12.3333,90.1237,9012.3736
2025-09-21,37,107,6:00,17:40,11.6667,12.3333,86.1053,8610.526
2025-09-22,37,107,6:00,17:40,11.6667,12.3333,83.2178,8321.7803
2025-09-23,37,107,6:00,17:40,11.6667,12.3333,86.9039,8690.3915
2025-09-24,37,107,6:00,17:40,11.6667,12.3333,86.2104,8621.0428
2025-09-25,37,107,6:00,17:40,11.6667,12.3333,85.6192,8561.925
2025-09-26,37,107,6:00,17:40,11.6667,12.3333,81.366,8136.6
2025-09-27,37,106,6:00,17:30,11.5,12.5,84.5467,8454.675
2025-09-28,38,106,6:10,17:30,11.3333,12.6667,83.6263,8362.6324
2025-09-29,38,106,6:10,17:30,11.3333,12.6667,86.1907,8619.0719
2025-09-30,38,106,6:10,17:30,11.3333,12.6667,90.2801,9028.0125
2025-10-01,38,106,6:10,17:30,11.3333,12.6667,100.769,10076.891
2025-10-02,38,106,6:10,17:30,11.3333,12.6667,96.0752,9607.518
2025-10-03,38,106,6:10,17:30,11.3333,12.6667,94.9523,9495.2286
2025-10-04,38,106,6:10,17:30,11.3333,12.6667,88.3893,8838.9316
2025-10-05,38,106,6:10,17:30,11.3333,12.6667,90.501,9050.0959
2025-10-06,38,105,6:10,17:20,11.1667,12.8333,86.5734,8657.3389
2025-10-07,39,105,6:20,17:20,11,13,87.3293,8732.9297
2025-10-08,39,105,6:20,17:20,11,13,87.0023,8700.225
2025-10-09,39,105,6:20,17:20,11,13,93.4737,9347.3659
2025-10-10,39,105,6:20,17:20,11,13,98.9974,9899.7375
2025-10-11,39,105,6:20,17:20,11,13,85.1842,8518.425
2025-10-12,39,105,6:20,17:20,11,13,84.9015,8490.1519
2025-10-13,39,105,6:20,17:20,11,13,93.1902,9319.0239
2025-10-14,39,105,6:20,17:20,11,13,87.9019,8790.1875
2025-10-15,39,105,6:20,17:20,11,13,84.0143,8401.4329
2025-10-16,39,105,6:20,17:20,11,13,85.3252,8532.525
2025-10-17,39,105,6:20,17:20,11,13,85.153,8515.295
2025-10-18,40,104,6:30,17:10,10.6667,13.3333,81.5511,8155.11
2025-10-19,40,104,6:30,17:10,10.6667,13.3333,87.3239,8732.389
2025-10-20,40,104,6:30,17:10,10.6667,13.3333,84.2643,8426.4273
2025-10-21,40,104,6:30,17:10,10.6667,13.3333,77.1202,7712.025
2025-10-22,40,104,6:30,17:10,10.6667,13.3333,80.1317,8013.1663
2025-10-23,40,104,6:30,17:10,10.6667,13.3333,83.7372,8373.7162
2025-10-24,40,104,6:30,17:10,10.6667,13.3333,85.1304,8513.0381
2025-10-25,40,104,6:30,17:10,10.6667,13.3333,83.9584,8395.8375
2025-10-26,40,104,6:30,17:10,10.6667,13.3333,81.6105,8161.05
2025-10-27,40,104,6:30,17:10,10.6667,13.3333,93.7829,9378.2902
2025-10-28,40,104,6:30,17:10,10.6667,13.3333,81.8821,8188.2057
2025-10-29,40,104,6:30,17:10,10.6667,13.3333,77.7605,7776.049
2025-10-30,40,104,6:30,17:10,10.6667,13.3333,80.7731,8077.3125
2025-10-31,40,103,6:30,17:00,10.5,13.5,72.2071,7220.7082
2025-11-01,41,103,6:40,17:00,10.3333,13.6667,77.8484,7784.8365
2025-11-02,41,103,6:40,17:00,10.3333,13.6667,78.9364,7893.6375
2025-11-03,41,103,6:40,17:00,10.3333,13.6667,71.5133,7151.334
2025-11-04,41,103,6:40,17:00,10.3333,13.6667,82.1269,8212.6875
2025-11-05,41,103,6:40,17:00,10.3333,13.6667,75.2585,7525.8475
2025-11-06,41,103,6:40,17:00,10.3333,13.6667,72.7247,7272.4678
2025-11-07,41,103,6:40,17:00,10.3333,13.6667,79.8312,7983.1221
2025-11-08,41,103,6:40,17:00,10.3333,13.6667,76.5109,7651.0875
2025-11-09,41,103,6:40,17:00,10.3333,13.6667,73.2979,7329.7894
2025-11-10,41,103,6:40,17:00,10.3333,13.6667,69.3642,6936.4154
2025-11-11,41,103,6:40,17:00,10.3333,13.6667,74.9985,7499.85
2025-11-12,42,102,6:50,16:50,10,14,78.9194,7891.9359
2025-11-13,41,102,6:40,16:50,10.1667,13.8333,72.4912,7249.1215
2025-11-14,42,102,6:50,16:50,10,14,68.8468,6884.6832
2025-11-15,42,102,6:50,16:50,10,14,72.003,7200.3025
2025-11-16,42,102,6:50,16:50,10,14,74.6621,7466.2132
2025-11-17,42,102,6:50,16:50,10,14,77.0298,7702.9804
2025-11-18,42,102,6:50,16:50,10,14,68.1287,6812.87
2025-11-19,42,102,6:50,16:50,10,14,71.7495,7174.9457
2025-11-20,42,102,6:50,16:50,10,14,70.1066,7010.6613
2025-11-21,42,102,6:50,16:50,10,14,68.208,6820.8
2025-11-22,42,102,6:50,16:50,10,14,70.6904,7069.0444
2025-11-23,42,102,6:50,16:50,10,14,72.9741,7297.414
2025-11-24,42,102,6:50,16:50,10,14,70.9065,7090.65
2025-11-25,42,102,6:50,16:50,10,14,68.3779,6837.7875
2025-11-26,42,102,6:50,16:50,10,14,64.3573,6435.7337
2025-11-27,42,102,6:50,16:50,10,14,68.4892,6848.925
2025-11-28,42,102,6:50,16:50,10,14,68.115,6811.5013
2025-11-29,42,102,6:50,16:50,10,14,57.5298,5752.9795
2025-11-30,43,101,7:00,16:40,9.66667,14.3333,59.8235,5982.3499
2025-12-01,43,101,7:00,16:40,9.66667,14.3333,68.5634,6856.3368
2025-12-02,43,101,7:00,16:40,9.66667,14.3333,62.941,6294.0998
2025-12-03,43,101,7:00,16:40,9.66667,14.3333,64.1633,6416.325
2025-12-04,43,101,7:00,16:40,9.66667,14.3333,64.7717,6477.1681
2025-12-05,43,101,7:00,16:40,9.66667,14.3333,64.4445,6444.45
2025-12-06,43,101,7:00,16:40,9.66667,14.3333,59.6411,5964.1088
2025-12-07,43,101,7:00,16:40,9.66667,14.3333,63.4905,6349.05
2025-12-08,43,101,7:00,16:40,9.66667,14.3333,61.2953,6129.5297
2025-12-09,43,101,7:00,16:40,9.66667,14.3333,62.9312,6293.1158
2025-12-10,43,101,7:00,16:40,9.66667,14.3333,60.6873,6068.7277
2025-12-11,43,101,7:00,16:40,9.66667,14.3333,62.0902,6209.025
2025-12-12,43,101,7:00,16:40,9.66667,14.3333,55.2289,5522.8875
2025-12-13,43,101,7:00,16:40,9.66667,14.3333,59.2482,5924.8154
2025-12-14,43,101,7:00,16:40,9.66667,14.3333,58.5754,5857.5414
2025-12-15,43,101,7:00,16:40,9.66667,14.3333,56.2909,5629.0906
2025-12-16,43,101,7:00,16:40,9.66667,14.3333,56.4235,5642.3456
2025-12-17,43,101,7:00,16:40,9.66667,14.3333,58.1492,5814.9221
2025-12-18,43,101,7:00,16:40,9.66667,14.3333,65.7975,6579.75
2025-12-19,43,101,7:00,16:40,9.66667,14.3333,59.3295,5932.9542
2025-12-20,43,101,7:00,16:40,9.66667,14.3333,61.2746,6127.4625
2025-12-21,43,101,7:00,16:40,9.66667,14.3333,59.0489,5904.8948
2025-12-22,43,101,7:00,16:40,9.66667,14.3333,59.1077,5910.7711
2025-12-23,43,101,7:00,16:40,9.66667,14.3333,61.418,6141.8029
2025-12-24,43,101,7:00,16:40,9.66667,14.3333,64.321,6432.1037
2025-12-25,43,101,7:00,16:40,9.66667,14.3333,57.3407,5734.0684
2025-12-26,43,101,7:00,16:40,9.66667,14.3333,63.6511,6365.1129
2025-12-27,43,101,7:00,16:40,9.66667,14.3333,59.4507,5945.0707
2025-12-28,43,101,7:00,16:40,9.66667,14.3333,59.8015,5980.1479
2025-12-29,43,101,7:00,16:40,9.66667,14.3333,56.8015,5680.1489
2025-12-30,43,101,7:00,16:40,9.66667,14.3333,63.8277,6382.7651
2025-12-31,43,101,7:00,16:40,9.66667,14.3333,57.6337,5763.3651
